id,title,postingDate,salary,hours,closingDate,location,state,city,company,jobType,category,jobReference,additionalSalaryInf
16,Senior/Lead .Net API / Integration Developer (Ecommerce/Travel),25 October 2023,"£60,000 to £65,000 per year",Full time,24 November 2023,"Farnborough, Hampshire, gu147pa",South East Englasd,Hampshire,Hays Specialist Recruitment,Permanent,Creative & Design Jobs,4469867_1698232526,£65000 + Benefits
17,One Stop - Shift Leader,25 October 2023,Not specified,Full time,08 November 2023,"Basingstoke, Hampshire, RG22 6RY",South East Englasd,Hampshire,Tesco,Permanent,Creative & Design Jobs,tesco/TP/4430052/852495,Competitive Plus Benefits
18,TALENTED NIGHTLIFE PHOTOGRAPHER WANTED - WINCHESTER,25 October 2023,None,Part time,24 November 2023,"Winchester, Hampshire",South East Englasd,Hampshire,Licklist Ltd.,Temporary,Creative & Design Jobs,,None
19,TALENTED NIGHTLIFE PHOTOGRAPHER WANTED -EASTLEIGH,25 October 2023,None,Part time,24 November 2023,EASTLEIGH,South East Englasd,Hampshire,Licklist Ltd.,Temporary,Creative & Design Jobs,,None
20,TALENTED NIGHTLIFE PHOTOGRAPHER WANTED - SOUTHAMPTON,25 October 2023,None,Part time,24 November 2023,"Southampton, Hampshire",South East Englasd,Hampshire,Licklist Ltd.,Temporary,Creative & Design Jobs,,None
21,TALENTED NIGHTLIFE PHOTOGRAPHER WANTED - SOUTHSEA,25 October 2023,None,Part time,24 November 2023,SOUTHSEA,South East Englasd,Hampshire,Licklist Ltd.,Temporary,Creative & Design Jobs,,None
22,TALENTED NIGHTLIFE PHOTOGRAPHER WANTED - BASINGSTOKE,25 October 2023,£35 to £110 per hour,Part time,24 November 2023,"Basingstoke, Hampshire",South East Englasd,Hampshire,Licklist Ltd.,Temporary,Creative & Design Jobs,,None
23,TALENTED NIGHTLIFE PHOTOGRAPHER WANTED -PORTSMOUTH,25 October 2023,None,Part time,24 November 2023,"Portsmouth, Hampshire",South East Englasd,Hampshire,Licklist Ltd.,Temporary,Creative & Design Jobs,,None
24,CAD Designer,21 October 2023,"£35,000 to £50,000 per year",Full time,19 November 2023,"Basingstoke, Southern, RG21",South East Englasd,Hampshire,Broadreach Recruitment ltd,Permanent,Creative & Design Jobs,50416900,None
25,Property Coordinator,19 October 2023,None,Full time,18 November 2023,"Reading (Huntley Place), RG2 6AR",South East Englasd,Hampshire,Home Group Limited,Permanent,Creative & Design Jobs,23806,None
26,Funding Officer full time,19 October 2023,"£46,549 to £49,590 per year",Full time,13 November 2023,"Gosport, Hampshire",South East Englasd,Hampshire,Gosport Borough Council,Permanent,Creative & Design Jobs,200278,None
27,Property Coordinator,18 October 2023,None,Full time,16 November 2023,"Hampshire, GU14 7SQ",South East Englasd,Hampshire,Home Group Limited,Permanent,Creative & Design Jobs,231039,None
28,Retail Merchandiser,18 October 2023,£10.42 per hour,Part time,17 November 2023,BH25 6BP,South East Englasd,Hampshire,eXPD8,Permanent,Creative & Design Jobs,1241,None
29,CAD Designer,18 October 2023,"£35,000 to £50,000 per year",Full time,16 November 2023,"Basingstoke, Southern, RG21",South East Englasd,Hampshire,Broadreach Recruitment ltd,Permanent,Creative & Design Jobs,50352084,None
30,Part -Time Merchandiser in Salisbury,16 October 2023,£10.42 to £11.4 per hour,Part time,15 November 2023,"Fordingbridge, Hampshire, SP6 1AX",South East Englasd,Hampshire,redwigwam,Temporary,Creative & Design Jobs,0a17ac7c-7aab-4505-8cb5-99ecea53bc8b,None
31,CAD Designer,14 October 2023,"£35,000 to £50,000 per year",Full time,12 November 2023,"Basingstoke, Southern, RG22",South East Englasd,Hampshire,Broadreach Recruitment ltd,Permanent,Creative & Design Jobs,50313895,None
32,Bar Supervisor,13 October 2023,None,Full time,12 November 2023,"Hayling Island, Hampshire, PO11 0BZ",South East Englasd,Hampshire,Bourne Leisure,Permanent,Creative & Design Jobs,req53477,None
33,One Stop - Shift Leader,12 October 2023,Not specified,Part time,11 November 2023,"Basingstoke, Hampshire, RG24 9DX",South East Englasd,Hampshire,Tesco,Permanent,Creative & Design Jobs,tesco/TP/4430059/850166,Competitive + Benefits
34,Event's Coordinator,12 October 2023,"£21,898 per year",Full time,11 November 2023,RG27 9AZ,South East Englasd,Hampshire,Elite Hotels,Permanent,Creative & Design Jobs,8c89529ecd08431a9ef1,"Competitive Salary plus Service Charge / Full-time Hours, up to 40 hours per week"
35,Automotive Aftercare Executive,12 October 2023,"£27,000 per year",Full time,10 November 2023,"Hook, Southern, RG27 8AQ",South East Englasd,Hampshire,Perfect Placement UK Ltd,Permanent,Creative & Design Jobs,50275794,None
36,Talent Advisor,11 October 2023,"£28,957 per year",Full time,10 November 2023,SO53 3ZL,South East Englasd,Hampshire,CMA Recruitment Group,Permanent,Creative & Design Jobs,MM50036-42626,None
37,Business Development Manager - Country Estate Hotel,10 October 2023,"£35,000 to £38,000 per year",Full time,09 November 2023,Hook Hampshire RG27 0PL,South East Englasd,Hampshire,HR-CL Ltd,Permanent,Creative & Design Jobs,319307-40830,None
38,Design Manager,10 October 2023,Not specified,Full time,09 November 2023,"Marchwood, Hampshire, PO16 7JH",South East Englasd,Hampshire,VolkerWessels UK,Permanent,Creative & Design Jobs,VW03972_1696947782,"Pension, healthcare"
39,URGENT MERCHANDISING,08 October 2023,£10.42 per hour,Part time,07 November 2023,"Eastleigh, Hampshire, SO50 4SF",South East Englasd,Hampshire,redwigwam,Temporary,Creative & Design Jobs,84479087-5947-41e3-b255-53103504391c,None
1,Security Guard,07 November 2023,None,Part time,14 November 2023,SO14 7EG,South East Englasd,Hampshire,Asda,Contract,Security & Protective Services Jobs,90029,None
2,Regional Health & Safety Officer,06 November 2023,£18 to £20.01 per hour,Full time,16 November 2023,"Reading, Berkshire, PO16 7AZ",South East Englasd,Hampshire,Service Care Solutions,Contract,Security & Protective Services Jobs,BBBH101744_1697538162,None
3,Security Officer,06 November 2023,None,Full time,06 December 2023,SO14 7LP,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,42838,None
4,Security Officer,06 November 2023,None,Full time,06 December 2023,SP10 2NQ,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,42706,None
5,Retail Security Officer,03 November 2023,£11.10 per hour,Full time,03 December 2023,Stroud,South East Englasd,Hampshire,BardWood Support Services,Permanent,Security & Protective Services Jobs,Stroud,None
6,81061 - Operational Support Grade - HMP Winchester (Prison Support Role),03 November 2023,None,Full time,30 November 2023,Winchester,South East Englasd,Hampshire,Ministry of Justice,Permanent,Security & Protective Services Jobs,81061,None
7,Security Guard,02 November 2023,None,Part time,16 November 2023,SO53 3YJ,South East Englasd,Hampshire,Asda,Contract,Security & Protective Services Jobs,89499,None
8,Security Guard,31 October 2023,None,Part time,13 November 2023,SO53 3YJ,South East Englasd,Hampshire,Asda,Permanent,Security & Protective Services Jobs,89217,None
9,Security Guard,30 October 2023,Not specified,Full time,13 November 2023,"Hampshire, GU35 9JE",South East Englasd,Hampshire,Serco Limited,Permanent,Security & Protective Services Jobs,290050-42019146,£25000-30000 per annum
10,Security Officer - Days,30 October 2023,None,Full time,29 November 2023,RG7 4PR,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,42031,None
11,Data Centre Relief Officer,27 October 2023,£11.50 per hour,Part time,26 November 2023,"Farnborough, GU14 0LX",South East Englasd,Hampshire,ICTS (UK) Limited,Permanent,Security & Protective Services Jobs,1000338,None
12,Security Officer,27 October 2023,None,Full time,10 November 2023,RG7 4PR,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,42040,None
13,Military Provost Guard Service (MPGS),26 October 2023,"£24,238 per year",Full time,25 November 2023,"Worthy Down, Winchester",South East Englasd,Hampshire,Military Provost Guard Service,Permanent,Security & Protective Services Jobs,,None
14,Military Provost Guard Service (MPGS),26 October 2023,"£24,238 per year",Full time,25 November 2023,"Middle Wallop, Stockbridge, SO20 8DY",South East Englasd,Hampshire,Military Provost Guard Service,Permanent,Security & Protective Services Jobs,,None
15,Military Provost Guard Service (MPGS),26 October 2023,"£24,238 per year",Full time,25 November 2023,"Andover, Hampshire",South East Englasd,Hampshire,Military Provost Guard Service,Permanent,Security & Protective Services Jobs,,None
16,Retail Security Officer,25 October 2023,£10.70 to £10.70 per hour,Full time,24 November 2023,SO14 7DQ,South East Englasd,Hampshire,BardWood Support Services,Permanent,Security & Protective Services Jobs,Southampton Above Bar,None
17,Retail Security Officer,24 October 2023,£11.58 to £11.58 per hour,Part time,23 November 2023,Basingstoke,South East Englasd,Hampshire,BardWood Support Services,Permanent,Security & Protective Services Jobs,Basingstoke,None
18,Retail Security Officer,24 October 2023,£10.70 to £10.70 per hour,Part time,23 November 2023,"Farnborough, GU14 7SR.",South East Englasd,Hampshire,BardWood Support Services,Permanent,Security & Protective Services Jobs,Farnborough.,None
19,Retail Security Officer,24 October 2023,£11.58 to £11.58 per hour,Full time,23 November 2023,GU51 3LA,South East Englasd,Hampshire,BardWood Support Services,Permanent,Security & Protective Services Jobs,Fleet Road,None
20,Retail Security Officer,24 October 2023,£10.70 to £10.70 per hour,Part time,23 November 2023,GU14 7SR,South East Englasd,Hampshire,BardWood Support Services,Permanent,Security & Protective Services Jobs,Farnborough,None
21,Security,23 October 2023,None,Part time,22 November 2023,"Southampton, Hampshire",South East Englasd,Hampshire,TALLAWAH STAFFING LTD,Temporary,Security & Protective Services Jobs,Match Day Security,None
22,"Border Force - Border Force Officer, Part-time, Weekend Working, Stansted Airport",23 October 2023,"£28,000 to £29,400 per year",Part time,16 November 2023,Stansted,South East Englasd,Hampshire,Government Recruitment Service,Permanent,Security & Protective Services Jobs,321901/1,"Salary is Pro Rata - Plus Annualised Hours Allowance of 67.45% of salary, which equates to £18,886 per annum (pro rata) based on salary minimum"
23,Security Officer,20 October 2023,None,Full time,19 November 2023,RG21 7LJ,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41914,None
24,SIA Door Supervisor,20 October 2023,£13.21 to £15.41 per hour,Part time,19 November 2023,"Southampton, Hampshire",South East Englasd,Hampshire,Showsec International Ltd.,Contract,Security & Protective Services Jobs,,None
25,Security Officer,20 October 2023,None,Full time,19 November 2023,SP10 1DL,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41820,None
26,Security Officer,20 October 2023,None,Part time,19 November 2023,RG21 6XW,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41815,None
27,Security Officer,20 October 2023,None,Full time,19 November 2023,RG21 6XW,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41812,None
28,Security Officer,20 October 2023,None,Full time,19 November 2023,GU30 7TW,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41817,None
29,Security Officer,20 October 2023,None,Full time,19 November 2023,RG21 6XW,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41814,None
30,Probation Service Officer,19 October 2023,£18 to £20.07 per hour,Full time,18 November 2023,"Southampton, Hampshire, SO14 2ET",South East Englasd,Hampshire,Service Care Solutions,Contract,Security & Protective Services Jobs,BBBH98958_1697726696,None
31,Sponsored Reserve Firefighter - RAF Odiham,19 October 2023,"£27,650 to £31,106 per year",Full time,18 November 2023,RG29 1QT,South East Englasd,Hampshire,Capita plc,Permanent,Security & Protective Services Jobs,10090593-42284,None
32,Retail Security Officer,19 October 2023,£11.58 to £11.58 per hour,Full time,18 November 2023,GU51 3LA,South East Englasd,Hampshire,BardWood Support Services,Permanent,Security & Protective Services Jobs,Fleet,None
33,Security Guard,19 October 2023,None,Part time,08 November 2023,SO53 3YJ,South East Englasd,Hampshire,Asda,Contract,Security & Protective Services Jobs,88113,None
34,Security Officer,16 October 2023,None,Full time,15 November 2023,SO15 1QF,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41622,None
35,Security Officer,16 October 2023,None,Part time,15 November 2023,SO22 4QB,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41532,None
36,Security Officer,16 October 2023,None,Part time,15 November 2023,SO23 8AQ,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41530,None
37,Security Officer,16 October 2023,None,Full time,15 November 2023,SO22 4QB,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41531,None
38,Security Officer,16 October 2023,None,Part time,15 November 2023,RG22 4TW,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41537,None
39,Security Officer,16 October 2023,None,Full time,15 November 2023,RG22 4TW,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41536,None
40,Security Officer (ELC),12 October 2023,None,Full time,11 November 2023,PO14 4FL,South East Englasd,Hampshire,Mitie,Permanent,Security & Protective Services Jobs,41381,None
41,Royal Navy Develop Directorate - SPECAP System & Security Manager,12 October 2023,"£28,300 per year, pro rata",Full time,11 November 2023,PO14 1AS,South East Englasd,Hampshire,Ministry of Defence,Permanent,Security & Protective Services Jobs,319879,7641
42,Royal Navy Leadership Academy Trainer,10 October 2023,"£27,000 to £30,000 per year",Full time,09 November 2023,PO14 1AS,South East Englasd,Hampshire,Capita plc,Permanent,Security & Protective Services Jobs,10090318-42284,None
43,SIA DOOR SUPERVISOR,09 October 2023,None,Full time,08 November 2023,"Southampton, Hampshire",South East Englasd,Hampshire,Task,Permanent,Security & Protective Services Jobs,TPS-2022G,None
1,Customer Service - 1st Line Support Help Desk,07 November 2023,£11.00 to £15.00 per hour,Full time,14 November 2023,"Havant, Hampshire, PO9 1SW",South East Englasd,Hampshire,Manpower UK Limited,Temporary,IT Jobs,VAB/12620BR/2023_1699352952,"paid holiday, sick, pension, training,"
2,2nd Line IT Technician,07 November 2023,"£25,000 to £28,000 per year",Full time,07 December 2023,"BH24 3SB, BH24 3SB",South East Englasd,Hampshire,TribePost Ltd,Permanent,IT Jobs,TTP2ND071123,"£25,000 – £28,000, DOE + Benefits"
3,Junior Project Manager - Applications,07 November 2023,None,Full time,07 December 2023,"Aldershot, Hampshire",South East Englasd,Hampshire,DXC Technology,Permanent,IT Jobs,Apps PM L3 Aldershot,None
4,Project Manager - Applications,07 November 2023,None,Full time,07 December 2023,"Aldershot, Hampshire",South East Englasd,Hampshire,DXC Technology,Permanent,IT Jobs,Apps PM L5 Aldershot,None
5,Senior Data Engineer,07 November 2023,£700.00 per day,Full time,06 December 2023,Andover,South East Englasd,Hampshire,Triumph Consultants Ltd,Temporary,IT Jobs,QAD 1485/0611,per day pay range subject to IR35 status
6,Software as a Service - SaaS Engineer - EH0216,06 November 2023,Not specified,Full time,06 December 2023,"Petersfield, GU31 4EX",South East Englasd,Hampshire,East Hampshire District Council,Permanent,IT Jobs,314,"Grade 7 - £40,645 to £47,846 per annum"
7,IT and Digital Support Analyst - EH0220,06 November 2023,Not specified,Full time,06 December 2023,"Petersfield, GU31 4EX",South East Englasd,Hampshire,East Hampshire District Council,Permanent,IT Jobs,315,"Grade 4 - £28,349 to £31,926 per annum"
8,Hire Controller,03 November 2023,"£23,000 to £28,000 per year",Full time,03 December 2023,RG287DN,South East Englasd,Hampshire,Path Recruitment Ltd,Permanent,IT Jobs,41619-183282,None
9,"Scrum Master - Portsmouth, Hampshire",03 November 2023,"£50,510 per year",Full time,17 November 2023,"Portsmouth, Hampshire, PO2 8HB",South East Englasd,Hampshire,VIVID,Permanent,IT Jobs,953489,Competitive
10,Junior Software Engineers,03 November 2023,"£32,452 to £36,874 per year",Full time,16 November 2023,"Segensworth Road, Titchfield, Fareham, Hampshire, PO15 5RR",South East Englasd,Hampshire,Office for National Statistics,Permanent,IT Jobs,307161,None
11,Data Architect,03 November 2023,"£53,352 to £62,898 per year",Full time,16 November 2023,"Segensworth Road, Titchfield, Fareham, Hampshire, PO15 5RR",South East Englasd,Hampshire,Office for National Statistics,Permanent,IT Jobs,324052,plus CS pension contribution of 27%
12,Security Cleared Deskside Support Engineer,03 November 2023,"£32,000 to £34,500 per year",Full time,01 December 2023,"Reading, Berkshire, RG7 4PR",South East Englasd,Hampshire,Manpower UK Limited,Permanent,IT Jobs,NH/SCDSE/AWE_1699001903,None
13,Finance Data Analyst,02 November 2023,Not specified,Full time,24 November 2023,"Hook, RG27 9UY",South East Englasd,Hampshire,Serco Limited,Temporary,IT Jobs,290160-42027440,£50000-60000 per annum
14,Senior Data Engineer,02 November 2023,None,Full time,16 November 2023,"Cosham, Hampshire, PO6 3EN",South East Englasd,Hampshire,Babcock International Ltd,Permanent,IT Jobs,SF54210_1698941363,None
15,Field Service Engineer / Field Support Technician,02 November 2023,Not specified,Full time,16 November 2023,Basingstoke,South East Englasd,Hampshire,AWD online,Permanent,IT Jobs,AWDO-P11274,"£26,000 per annum + Company Van, Fuel Card + Benefits"
16,Windows System Engineer (SSE I),02 November 2023,"£32,000 to £34,000 per year",Full time,30 November 2023,"Reading, Berkshire, RG7 4PR",South East Englasd,Hampshire,Manpower UK Limited,Permanent,IT Jobs,NH/WSE/ALD_1698930994,None
17,Associate Cloud Engineer,01 November 2023,None,Full time,08 November 2023,"Farnborough, Hampshire, GU14 0LX",South East Englasd,Hampshire,QinetiQ,Permanent,IT Jobs,16038_1698858786,None
18,Data Entry Assistant,31 October 2023,£50.38 per hour,Full time,30 November 2023,"Cosham, Portsmouth",South East Englasd,Hampshire,Definitejobs Group Ltd,Temporary,IT Jobs,000001232,None
19,Data Entry,31 October 2023,"£60,000 to £79,000 per year",Full time,30 November 2023,Eastleigh,South East Englasd,Hampshire,Definitejobs Group Ltd,Permanent,IT Jobs,000002342,None
20,Data Entry Assistant,31 October 2023,£50.38 per hour,Full time,30 November 2023,"Cosham, Portsmouth",South East Englasd,Hampshire,Definitejobs Group Ltd,Temporary,IT Jobs,000001232,None
21,Data Engineer,31 October 2023,£685.0 per day,Full time,13 November 2023,"Southampton, Hampshire, SO15 2JU",South East Englasd,Hampshire,Hays Specialist Recruitment,Contract,IT Jobs,4483670_1698678364,£685.80 p/d (Umbrella)
22,Meteorological Support Associate,31 October 2023,None,Full time,29 November 2023,"Farnborough, Hampshire, GU14 0LX",South East Englasd,Hampshire,QinetiQ,Permanent,IT Jobs,15297_1698689953,None
23,Python Developer,30 October 2023,"£40,964 to £47,672 per year",Full time,14 November 2023,"Segensworth Road, Titchfield, Fareham, Hampshire, PO15 5RR",South East Englasd,Hampshire,Office for National Statistics,Permanent,IT Jobs,322983,"plus up to £5,000 skills allowance"
24,PHP Developer,25 October 2023,"£31,158 to £33,377 per year",Full time,24 November 2023,SO17 1BJ,South East Englasd,Hampshire,University of Southampton Students' Union,Permanent,IT Jobs,,None
25,Security & Threat Intelligence Lead,23 October 2023,Not specified,Full time,22 November 2023,"Havant, Hampshire, PO9 1UN",South East Englasd,Hampshire,SSE,Permanent,IT Jobs,545363_1698063867,Performance related bonus
26,ServiceNow Engineer (Solution Support Engineer III),20 October 2023,"£53,000 to £55,000 per year",Full time,17 November 2023,"Reading, Berkshire, RG7 4PR",South East Englasd,Hampshire,Manpower UK Limited,Permanent,IT Jobs,NH/SSESN/ALD_1697795490,None
27,Information Risk and Security Officer / Financial Services,20 October 2023,"£65,000.0 to £70,000.0 per year",Full time,19 November 2023,"Slough, Berkshire, GU14 6XR",South East Englasd,Hampshire,Hays Specialist Recruitment,Permanent,IT Jobs,4437209_1697799165,"£70,000 based on Experience"
28,Senior Cloud Engineer,19 October 2023,"£40,964 to £47,672 per year",Full time,07 November 2023,"Segensworth Road, Titchfield, Fareham, Hampshire, PO15 5RR",South East Englasd,Hampshire,Office for National Statistics,Permanent,IT Jobs,305908,"plus up to £5,000 skills allowance"
29,Data Engineer,18 October 2023,"£55,000 per year",Full time,15 November 2023,"Hampshire, RG27 9XA",South East Englasd,Hampshire,BCA Group,Permanent,IT Jobs,ORG3669-IT777KMx,"Up to £55,000 per annum + benefits"
30,System Architect,17 October 2023,Not specified,Full time,16 November 2023,"Farnborough, Hampshire, GU14 0LX",South East Englasd,Hampshire,QinetiQ,Permanent,IT Jobs,14291_1697539721,+ Benefits + Bonus
31,IT Manager,13 October 2023,None,Full time,12 November 2023,sp10 1lj,South East Englasd,Hampshire,Personnel Selection,Permanent,IT Jobs,5945/104-7519,None
32,Communications Manager x 2,11 October 2023,Not specified,Full time,08 November 2023,"Hampshire, RG27 9UY",South East Englasd,Hampshire,Serco Limited,Permanent,IT Jobs,289562-41975264,£40000-45000 per annum
1,Senior Occupational Hygienist Royal Navy,07 November 2023,"£43,080 per year, pro rata",Full time,07 December 2023,PO12 2DL,South East Englasd,Hampshire,Ministry of Defence,Permanent,Scientific & QA Jobs,325043,11631
2,Agile Developer - EH0218,06 November 2023,Not specified,Full time,06 December 2023,"Petersfield, GU31 4EX",South East Englasd,Hampshire,East Hampshire District Council,Permanent,Scientific & QA Jobs,316,"Grade 6 to 8 - career graded - £36,169 to £52,920 per annum"
3,NHS Haematology & Transfusion Biomedical Scientist,06 November 2023,£25 to £26 per hour,Full time,06 December 2023,PO1,South East Englasd,Hampshire,Sanctuary Personnel,Temporary,Scientific & QA Jobs,197803-430334,None
4,Biomedical Scientist - Transfusion (Private Lab),06 November 2023,£32 per hour,Full time,06 December 2023,SO53 2DW,South East Englasd,Hampshire,Sanctuary Personnel,Temporary,Scientific & QA Jobs,200050-430332,None
5,Agile Developer - EH0218,06 November 2023,Not specified,Full time,06 December 2023,"Petersfield, GU31 4EX",South East Englasd,Hampshire,East Hampshire District Council,Permanent,Scientific & QA Jobs,312,"Grade 8 - £47,846 to £52,920 per annum"
6,Vehicle Technician & MOT Tester,02 November 2023,"£35,000 per year",Full time,01 December 2023,"Southampton, Southern, SO14 5FP",South East Englasd,Hampshire,Perfect Placement UK Ltd,Permanent,Scientific & QA Jobs,50566955,None
7,Vehicle Technician / MOT Tester,02 November 2023,"£30,000 to £40,786 per year",Full time,01 December 2023,"Portsmouth, Southern, PO3 5HS",South East Englasd,Hampshire,Perfect Placement UK Ltd,Permanent,Scientific & QA Jobs,50566814,None
8,Finance Manager - Regeneration,31 October 2023,None,Full time,29 November 2023,"Portsmouth, po1 2EP",South East Englasd,Hampshire,Portsmouth City Council,Permanent,Scientific & QA Jobs,2002,None
9,Tesco Colleague - Hayling Island Station Rd Express,30 October 2023,Not specified,Part time,20 November 2023,"Hayling Island, Hampshire, PO11 0EA",South East Englasd,Hampshire,Tesco,Permanent,Scientific & QA Jobs,tesco/TP/545/853188/0,Competitive
10,Technical Product Analyst,27 October 2023,"£35,000 per year",Full time,24 November 2023,"Hampshire, RG27 9XA",South East Englasd,Hampshire,BCA Group,Permanent,Scientific & QA Jobs,ORG3669-IT780 HS,"£35,000 + Benefits!"
11,Service Advisor,27 October 2023,"£30,000 per year",Full time,26 November 2023,PO7 7XW,South East Englasd,Hampshire,autoskills-uk,Permanent,Scientific & QA Jobs,JO0000040886-174447,None
12,Service Advisor,20 October 2023,"£35,000 per year",Full time,19 November 2023,GU14 6TL,South East Englasd,Hampshire,autoskills-uk,Permanent,Scientific & QA Jobs,JO0000040302-174449,None
13,Service Advisor,20 October 2023,"£26,000 per year",Full time,19 November 2023,RG216XH,South East Englasd,Hampshire,autoskills-uk,Permanent,Scientific & QA Jobs,JO0000040113-174448,None
14,Forensic Administrator – Resources,20 October 2023,£11.83 per hour,Full time,18 November 2023,Whitchurch,South East Englasd,Hampshire,Triumph Consultants Ltd,Temporary,Scientific & QA Jobs,Thames Valley BL TCL 360176,per hour PAYE
15,Electrical Improver,19 October 2023,£17 per hour,Part time,18 November 2023,PO16 0AB,South East Englasd,Hampshire,ARC (Norwich) Ltd,Temporary,Scientific & QA Jobs,MCfarehamElecImprove-43277,None
16,Specialist Doctor in Dermatology | Hampshire Hospitals NHS Foundation Trust,18 October 2023,Not specified,Part time,17 November 2023,"Basingstoke, RG24 9NA",South East Englasd,Hampshire,Hampshire Hospitals NHS Foundation Trust,Permanent,Scientific & QA Jobs,5716533/251-MD23112,"£83,945 - £95,275 pro rata"
17,Lab technician | University Hospital Southampton NHS Foundation Trust,17 October 2023,Not specified,Part time,16 November 2023,"Southampton, SO16 6YD",South East Englasd,Hampshire,University Hospital Southampton NHS FT,Permanent,Scientific & QA Jobs,5748736/188-THQ2-087,"£25,147 - £27,596 pa pro rota or per annum"
18,Innovation Manager,17 October 2023,"£37,500 to £40,500 per year, pro rata",Full time,15 November 2023,"Andover, Hampshire",South East Englasd,Hampshire,Macular Society,Permanent,Scientific & QA Jobs,NH - 17/10/23,None
19,Laboratory Technicians,16 October 2023,"£20,319 to £27,500 per year",Full time,15 November 2023,RG29 1AB,South East Englasd,Hampshire,Spectro | Jet-Care,Permanent,Scientific & QA Jobs,JD/S 11r9,Salaries are reviewed at the end of the probation period and yearly thereafter.
20,Renewals Advisor,16 October 2023,"£23,000 to £27,000 per year",Full time,15 November 2023,PO15,South East Englasd,Hampshire,Tru Talent,Permanent,Scientific & QA Jobs,1655-416681,None
21,Quality inspector,14 October 2023,£11 to £17 per hour,Full time,10 November 2023,"Waterlooville, Southern, PO3",South East Englasd,Hampshire,Holt Recruitment Group Limited,Permanent,Scientific & QA Jobs,50325803,None
22,Product Manager,14 October 2023,"£30,000 to £35,000 per year",Full time,10 November 2023,"Romsey, Southern, SO51",South East Englasd,Hampshire,Holt Recruitment Group Limited,Permanent,Scientific & QA Jobs,50313587,None
23,"Head of Human Factors, Royal Navy",13 October 2023,None,Full time,12 November 2023,PO12 2DL,South East Englasd,Hampshire,Ministry of Defence,Permanent,Scientific & QA Jobs,318797,None
24,Vehicle Technician / MOT Tester,12 October 2023,"£27,000 to £32,000 per year",Full time,10 November 2023,"Basingstoke, Southern, RG23 8HP",South East Englasd,Hampshire,Perfect Placement UK Ltd,Permanent,Scientific & QA Jobs,50275627,None
25,Service Advisor,11 October 2023,"£33,000 per year",Full time,10 November 2023,RG22 6PL,South East Englasd,Hampshire,autoskills-uk,Permanent,Scientific & QA Jobs,JO0000045112-17444,None
26,Business Analyst - Transformation,11 October 2023,£571.0 to £628.0 per day,Full time,10 November 2023,"Southampton, Hampshire, SO15 2JU",South East Englasd,Hampshire,Hays Specialist Recruitment,Temporary,Scientific & QA Jobs,4475157_1697009272,£571 - £628 p/d (Umbrella)
27,Biomedical Scientist - Histology/Microtomy,11 October 2023,£20 per hour,Full time,10 November 2023,PO1,South East Englasd,Hampshire,Sanctuary Personnel,Temporary,Scientific & QA Jobs,199494-430332,None
28,Business Analyst - Digital,11 October 2023,£571.0 to £628.0 per day,Full time,09 November 2023,"Southampton, Hampshire, SO15 2JU",South East Englasd,Hampshire,Hays Specialist Recruitment,Contract,Scientific & QA Jobs,4475007_1696952887,£571 - £628 p/d (Umbrella)
29,Business Analyst - Digital,11 October 2023,£571.0 to £628.0 per day,Full time,09 November 2023,"Southampton, Hampshire, SO15 2JU",South East Englasd,Hampshire,Hays Specialist Recruitment,Contract,Scientific & QA Jobs,4475007_1696952164,£571 - £628 p/d (Umbrella)
1,Shift Leader,06 November 2023,Not specified,Full time,06 December 2023,"Ringwood, BH24 1AH",South East Englasd,Hampshire,Caffe Nero Group Ltd,Permanent,"Energy, Oil & Gas Jobs",cn-15091,£10.60
2,Supervisor,03 November 2023,Not specified,Part time,03 December 2023,"Alton, GU34 1HD",South East Englasd,Hampshire,PizzaExpress Restaurants Ltd,Permanent,"Energy, Oil & Gas Jobs",pizzaexpress-70460,£11.50
3,Contractor Safety and Performance Co-Ordinator,03 November 2023,"£35,142 to £40,246 per year",Full time,03 December 2023,"Portsmouth, Hampshire, PO6 1UJ",South East Englasd,Hampshire,SSE,Permanent,"Energy, Oil & Gas Jobs",546951_1699013457,car Allowance
